team_num, team_name, num_matches, tot_auto_left, tot_auto_center, tot_auto_right, tot_auto_cross, tot_auto_pyramid_intake, avg_auto_pyramid_intake, tot_auto_unprotected_intake, avg_auto_unprotected_intake, perc_auto_near_switch_made, avg_auto_near_switch_made, avg_auto_near_switch_attempts, tot_auto_near_switch_made, tot_auto_near_switch_attempts, perc_auto_scale_high_made, avg_auto_scale_high_made, avg_auto_scale_high_attempts, tot_auto_scale_high_made, tot_auto_scale_high_attempts, avg_tele_scale_high_missed, perc_auto_scale_low_made, avg_auto_scale_low_made, avg_auto_scale_low_attempts, tot_auto_scale_low_made, tot_auto_scale_low_attempts, avg_tele_scale_low_missed, perc_auto_exchange_made, avg_auto_exchange_made, avg_auto_exchange_attempts, tot_auto_exchange_made, tot_auto_exchange_attempts, tot_tele_intake, avg_tele_intake, max_tele_intake, tot_tele_floor_intake, avg_tele_floor_intake, perc_tele_portal_intake_made, avg_tele_portal_intake_made, avg_tele_portal_intake_attempts, tot_tele_portal_intake_made, tot_tele_portal_intake_attempts, tot_tele_pyramid_intake, avg_tele_pyramid_intake, tot_tele_unprotected_intake, avg_tele_unprotected_intake, perc_tele_near_switch_made, avg_tele_near_switch_made, avg_tele_near_switch_attempts, tot_tele_near_switch_made, tot_tele_near_switch_attempts, perc_tele_far_switch_made, avg_tele_far_switch_made, avg_tele_far_switch_attempts, tot_tele_far_switch_made, tot_tele_far_switch_attempts, perc_tele_scale_high_made, avg_tele_scale_high_made, avg_tele_scale_high_attempts, tot_tele_scale_high_made, tot_tele_scale_high_attempts, perc_tele_scale_low_made, avg_tele_scale_low_made, avg_tele_scale_low_attempts, tot_tele_scale_low_made, tot_tele_scale_low_attempts, perc_tele_exchange_made, avg_tele_exchange_made, avg_tele_exchange_attempts, tot_tele_exchange_made, tot_tele_exchange_attempts, tot_tele_cubes_scored, avg_tele_cubes_scored, max_tele_cubes_scored, tot_tele_knockouts, avg_tele_knockouts, avg_tele_cubes_descored, tot_tele_cubes_dropped, avg_tele_cubes_dropped, max_tele_highest_level, frq_tele_highest_level, tot_tele_orderly, perc_tele_climb, tot_tele_climb, tot_tele_climb_attempts, perc_tele_plus_one, tot_tele_plus_one, tot_tele_plus_one_attempts, perc_tele_plus_two, tot_tele_plus_two, tot_tele_plus_two_attempts, tot_tele_climb_assisted, tot_tele_platform, avg_tele_pyramid_scale_cycle, avg_tele_pyramid_near_switch_cycle, avg_tele_pyramid_far_switch_cycle, avg_tele_pyramid_exchange_cycle, avg_tele_unprotected_scale_cycle, avg_tele_unprotected_near_switch_cycle, avg_tele_unprotected_far_switch_cycle, avg_tele_unprotected_exchange_cycle, avg_tele_portal_scale_cycle, avg_tele_portal_near_switch_cycle, avg_tele_portal_far_switch_cycle, avg_tele_portal_exchange_cycle, avg_tele_floor_scale_cycle, avg_tele_floor_near_switch_cycle, avg_tele_floor_far_switch_cycle, avg_tele_floor_exchange_cycle, tot_tele_pyramid_scale_cycle, tot_tele_pyramid_near_switch_cycle, tot_tele_pyramid_far_switch_cycle, tot_tele_pyramid_exchange_cycle, tot_tele_unprotected_scale_cycle, tot_tele_unprotected_near_switch_cycle, tot_tele_unprotected_far_switch_cycle, tot_tele_unprotected_exchange_cycle, tot_tele_portal_scale_cycle, tot_tele_portal_near_switch_cycle, tot_tele_portal_far_switch_cycle, tot_tele_portal_exchange_cycle, tot_tele_floor_scale_cycle, tot_tele_floor_near_switch_cycle, tot_tele_floor_far_switch_cycle, tot_tele_floor_exchange_cycle, max_tele_pyramid_scale_cycle, max_tele_pyramid_near_switch_cycle, max_tele_pyramid_far_switch_cycle, max_tele_pyramid_exchange_cycle, max_tele_unprotected_scale_cycle, max_tele_unprotected_near_switch_cycle, max_tele_unprotected_far_switch_cycle, max_tele_unprotected_exchange_cycle, max_tele_portal_scale_cycle, max_tele_portal_near_switch_cycle, max_tele_portal_far_switch_cycle, max_tele_portal_exchange_cycle, max_tele_floor_scale_cycle, max_tele_floor_near_switch_cycle, max_tele_floor_far_switch_cycle, max_tele_floor_exchange_cycle, avg_driver_rating, avg_defense_rating, alliance_rating
118, Robonauts, 10, 1, 5, 4, 9, 2, 0.2, 11, 1.1, 100, 0.4, 0.4, 4, 4, 82.353, 1.4, 1.7, 14, 17, 0, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0, 0, 67, 6.7, 10, 25, 2.5, 0, 0, 0, 0, 0, 18, 1.8, 24, 2.4, 100, 0.1, 0.1, 1, 1, 88.889, 0.8, 0.9, 8, 9, 100, 0.5, 0.5, 5, 5, 76.316, 2.9, 3.8, 29, 38, 100, 0.8, 0.8, 8, 8, 51, 5.1, 10, 7, 0.7, 0, 0, 0, 22, 1, 0, 66.667, 6, 9, 75, 6, 8, 0, 0, 0, 0, 0, 8, 3, 11, 5.917, 5.667, 9, 3.25, 7, 0, 0, 5, 0, 4.5, 0, 5, 6, 4, 2, 1, 7, 24, 1, 4, 1, 0, 0, 2, 0, 7, 0, 1, 1, 2, 2, 1, 6, 4, 1, 4, 1, 0, 0, 2, 0, 2, 0, 1, 1, 4.1, 0, 11.8
604, Quixilver, 10, 3, 6, 1, 9, 0, 0, 0, 0, 100, 0.3, 0.3, 3, 3, 66.667, 0.2, 0.3, 2, 3, 0.3, 0, 0, 0, 0, 0, 0.9, 0, 0, 0, 0, 0, 78, 7.8, 12, 29, 2.9, 40, 0.2, 0.5, 2, 5, 17, 1.7, 30, 3, 100, 0.9, 0.9, 9, 9, 75, 0.3, 0.4, 3, 4, 88.462, 2.3, 2.6, 23, 26, 64, 1.6, 2.5, 16, 25, 100, 1.8, 1.8, 18, 18, 69, 6.9, 12, 1, 0.1, 0, 0, 0, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11.25, 13.5, 0, 5, 6.426, 4.167, 0, 4.357, 9.5, 0, 5, 0, 9.458, 10, 7, 8.375, 4, 6, 0, 1, 24, 4, 0, 8, 2, 0, 1, 0, 10, 1, 2, 5, 1, 5, 0, 1, 4, 2, 0, 7, 2, 0, 1, 0, 3, 1, 1, 2, 3.3, 2, 14.7
624, CRyptonite, 10, 4, 6, 0, 10, 0, 0, 2, 0.2, 85.714, 0.6, 0.7, 6, 7, 100, 0.5, 0.5, 5, 5, 0.2, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 70, 7, 9, 12, 1.2, 100, 0.3, 0.3, 3, 3, 8, 0.8, 47, 4.7, 72.727, 0.8, 1.1, 8, 11, 100, 0.9, 0.9, 9, 9, 88.235, 1.5, 1.7, 15, 17, 86.957, 2, 2.3, 20, 23, 100, 0.4, 0.4, 4, 4, 56, 5.6, 9, 1, 0.1, 0, 0, 0, 11, 4, 0, 70, 7, 10, 85.714, 6, 7, 0, 0, 0, 0, 1, 0, 3.6, 0, 3.667, 6.784, 4.333, 5.583, 10, 0, 0, 6, 0, 5.639, 2.5, 0, 0, 0, 5, 0, 3, 28, 7, 13, 1, 0, 0, 1, 0, 11, 2, 0, 0, 0, 5, 0, 3, 7, 4, 6, 1, 0, 0, 1, 0, 3, 2, 0, 0, 3.8, 3, 12.6
687, The Nerd Herd, 9, 0, 5, 4, 8, 3, 0.333, 1, 0.111, 100.013, 0.889, 0.889, 8, 8, 100, 0.444, 0.444, 4, 4, 0.222, 0, 0, 0, 0, 0, 0.667, 0, 0, 0, 0, 0, 59, 6.556, 10, 13, 1.444, 70, 0.778, 1.111, 7, 10, 21, 2.333, 18, 2, 100, 0.333, 0.333, 3, 3, 100, 1.333, 1.333, 12, 12, 85.714, 1.333, 1.556, 12, 14, 64.706, 1.222, 1.889, 11, 17, 100, 1, 1, 9, 9, 47, 5.222, 9, 0, 0, 0, 0, 0, 22, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.25, 0, 5.979, 7.333, 13, 5.875, 0, 8.875, 0, 6.75, 0, 5.25, 0, 7.167, 9, 0, 5, 0, 10, 16, 1, 5, 0, 6, 0, 6, 0, 3, 0, 4, 1, 0, 2, 0, 4, 5, 1, 4, 0, 2, 0, 4, 0, 2, 0, 3, 1, 3.222, 4, 11.778
812, The Midnight Mechanics, 10, 4, 1, 5, 10, 0, 0, 0, 0, 100, 0.6, 0.6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 6.8, 10, 16, 1.6, 75, 0.6, 0.8, 6, 8, 39, 3.9, 7, 0.7, 94.737, 1.8, 1.9, 18, 19, 93.333, 1.4, 1.5, 14, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97.727, 4.3, 4.4, 43, 44, 75, 7.5, 10, 2, 0.2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 7.69, 0, 5.463, 0, 6, 9.167, 0, 0, 11.833, 5.667, 0, 0, 8, 10.5, 7.875, 1, 10, 0, 39, 0, 3, 4, 0, 0, 4, 6, 0, 0, 2, 2, 5, 1, 3, 0, 9, 0, 2, 3, 0, 0, 2, 4, 0, 0, 1, 1, 2, 3.1, 0, 14.3
832, Oscar, 10, 0, 7, 3, 9, 0, 0, 0, 0, 83.333, 0.5, 0.6, 5, 6, 0, 0, 0.3, 0, 3, 0.3, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 0, 65, 6.5, 10, 22, 2.2, 100, 0.2, 0.2, 2, 2, 19, 1.9, 22, 2.2, 80, 1.6, 2, 16, 20, 100, 0.2, 0.2, 2, 2, 80, 1.2, 1.5, 12, 15, 77.778, 0.7, 0.9, 7, 9, 100, 2.2, 2.2, 22, 22, 59, 5.9, 13, 2, 0.2, 0, 0, 0, 22, 1, 0, 100, 7, 7, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5.5, 0, 5.873, 7.167, 11.083, 0, 15, 11, 0, 4, 0, 7.125, 6.167, 18, 3, 0, 3, 0, 12, 12, 6, 0, 1, 1, 0, 1, 0, 6, 6, 1, 2, 0, 2, 0, 7, 5, 4, 0, 1, 1, 0, 1, 0, 2, 3, 1, 2, 3.1, 1.5, 12.4
968, RAWC (Robotics Alliance Of West Covina), 10, 1, 6, 3, 9, 3, 0.3, 0, 0, 75, 0.3, 0.4, 3, 4, 0, 0, 0, 0, 0, 0.4, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 73, 7.3, 9, 17, 1.7, 100, 0.7, 0.7, 7, 7, 18, 1.8, 31, 3.1, 100, 0.7, 0.7, 7, 7, 66.667, 0.2, 0.3, 2, 3, 82.609, 1.9, 2.3, 19, 23, 90.323, 2.8, 3.1, 28, 31, 100, 1.2, 1.2, 12, 12, 68, 6.8, 9, 0, 0, 0, 0, 0, 22, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 12, 4.6, 0, 3.75, 8.885, 6.5, 6.25, 0, 8.25, 0, 0, 0, 7.778, 0, 0, 6.536, 2, 5, 0, 3, 26, 2, 4, 0, 4, 0, 0, 0, 11, 0, 0, 9, 1, 5, 0, 2, 5, 1, 4, 0, 4, 0, 0, 0, 3, 0, 0, 7, 3.8, 0, 14.1
971, Spartan Robotics, 10, 9, 1, 0, 10, 0, 0, 4, 0.4, 80, 0.4, 0.5, 4, 5, 90, 0.9, 1, 9, 10, 0.1, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 0, 67, 6.7, 8, 15, 1.5, 100, 0.4, 0.4, 4, 4, 14, 1.4, 34, 3.4, 100, 1.4, 1.4, 14, 14, 33.333, 0.1, 0.3, 1, 3, 85.714, 0.6, 0.7, 6, 7, 94.872, 3.7, 3.9, 37, 39, 100, 0.3, 0.3, 3, 3, 61, 6.1, 8, 2, 0.2, 0, 0, 0, 22, 1, 0, 80, 4, 5, 60, 3, 5, 0, 0, 0, 0, 0, 8.833, 5.889, 0, 9, 5.552, 9.389, 0, 0, 5.25, 0, 8.333, 0, 14.75, 3.5, 3, 14, 4, 6, 0, 1, 29, 7, 0, 0, 3, 0, 3, 0, 8, 2, 1, 1, 2, 3, 0, 1, 5, 3, 0, 0, 2, 0, 3, 0, 2, 2, 1, 1, 3.7, 2, 12.8
1011, CRUSH, 10, 0, 10, 0, 9, 8, 0.8, 0, 0, 93.333, 1.4, 1.5, 14, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 9.9, 15, 21, 2.1, 100, 2.2, 2.2, 22, 22, 46, 4.6, 10, 1, 100, 1.1, 1.1, 11, 11, 83.333, 3, 3.6, 30, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94.118, 4.8, 5.1, 48, 51, 89, 8.9, 15, 2, 0.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 7, 3.229, 0, 0, 4.5, 4, 0, 12.5, 5.467, 14, 0, 0, 5.625, 4, 0, 1, 1, 47, 0, 0, 12, 1, 0, 2, 15, 1, 0, 0, 14, 3, 0, 1, 1, 10, 0, 0, 3, 1, 0, 1, 6, 1, 0, 0, 6, 1, 3.6, 3.25, 18.8
1251, Tech-Tiger Robotics, 4-H, 9, 2, 6, 1, 9, 3, 0.333, 0, 0, 63.655, 0.778, 1.222, 7, 11, 0, 0, 0, 0, 0, 0.222, 0, 0, 0, 0, 0, 0.444, 0, 0, 0, 0, 0, 46, 5.111, 7, 17, 1.889, 100, 0.222, 0.222, 2, 2, 5, 0.556, 22, 2.444, 100, 0.556, 0.556, 5, 5, 90.909, 1.111, 1.222, 10, 11, 86.667, 1.444, 1.667, 13, 15, 71.429, 1.111, 1.556, 10, 14, 100, 0.333, 0.333, 3, 3, 41, 4.556, 7, 5, 0.556, 0, 0, 0, 11, 2, 0, 66.667, 2, 3, 0, 0, 0, 0, 0, 0, 0, 1, 13.667, 0, 0, 11.75, 11.733, 4.667, 7.75, 0, 6.25, 0, 5, 0, 6.167, 18, 24.5, 0, 3, 0, 0, 3, 14, 3, 7, 0, 3, 0, 1, 0, 5, 1, 2, 0, 1, 0, 0, 2, 5, 3, 4, 0, 2, 0, 1, 0, 2, 1, 1, 0, 3.333, 2, 9.667
